Mes;TipoGasto;Valor;Municipio
1;Gasto Direto;4444.72;CANOAS
1;Gasto Direto;5999.6;CANOAS
1;Gasto Direto;23458.11;CANOAS
1;Gasto Direto;65081.65;CANOAS
1;Gasto Direto;1627.95;CANOAS
1;Gasto Direto;20679.01;CANOAS
1;Gasto Direto;3089.97;CANOAS
1;Gasto Direto;182039.06;CANOAS
1;Gasto Direto;219547.72;CANOAS
1;Gasto Direto;2286.0;CANOAS
1;Gasto Direto;1143.0;CANOAS
1;Gasto Direto;5686.31;CANOAS
1;Gasto Direto;4263.92;CANOAS
1;Gasto Direto;13059.82;CANOAS
1;Gasto Direto;1095.23;CANOAS
1;Gasto Direto;1095.23;CANOAS
1;Gasto Direto;7520.58;CANOAS
1;Gasto Direto;1095.23;CANOAS
1;Gasto Direto;3285.69;CANOAS
1;Gasto Direto;2190.46;CANOAS
1;Gasto Direto;2190.46;CANOAS
1;Gasto Direto;5877.73;CANOAS
1;Gasto Direto;1095.23;CANOAS
1;Gasto Direto;2190.46;CANOAS
1;Gasto Direto;3285.69;CANOAS
1;Gasto Direto;2190.46;CANOAS
1;Gasto Direto;2190.46;CANOAS
1;Gasto Direto;2190.46;CANOAS
1;Gasto Direto;3285.69;CANOAS
1;Gasto Direto;12969.02;CANOAS
1;Gasto Direto;128.04;CANOAS
1;Gasto Direto;835.68;CANOAS
1;Gasto Direto;3728.51;CANOAS
1;Gasto Direto;2957.45;CANOAS
1;Gasto Direto;835.68;CANOAS
1;Gasto Direto;3998.19;CANOAS
1;Gasto Direto;139.28;CANOAS
1;Gasto Direto;1390.87;CANOAS
1;Gasto Direto;139.28;CANOAS
1;Gasto Direto;417.84;CANOAS
1;Gasto Direto;1227.39;CANOAS
1;Gasto Direto;2513.35;CANOAS
1;Gasto Direto;974.96;CANOAS
1;Gasto Direto;3057.9;CANOAS
1;Gasto Direto;557.12;CANOAS
1;Gasto Direto;2190.46;CANOAS
1;Gasto Direto;1949.92;CANOAS
1;Gasto Direto;15355.98;CANOAS
1;Gasto Direto;45452.05;CANOAS
1;Gasto Direto;36405.15;CANOAS
1;Gasto Direto;9099.63;CANOAS
1;Gasto Direto;2971.31;CANOAS
1;Gasto Direto;10291.52;CANOAS
1;Gasto Direto;29449.48;CANOAS
1;Gasto Direto;2339.9;CANOAS
1;Gasto Direto;11237.99;CANOAS
1;Gasto Direto;505.12;CANOAS
1;Gasto Direto;4000.0;CANOAS
1;Gasto Direto;2367.76;CANOAS
1;Gasto Direto;12519.55;CANOAS
1;Gasto Direto;139.28;CANOAS
1;Gasto Direto;1870.37;CANOAS
1;Gasto Direto;1699.22;CANOAS
1;Gasto Direto;5142.55;CANOAS
1;Gasto Direto;1546.01;CANOAS
1;Gasto Direto;5879.5;CANOAS
1;Gasto Direto;2793.97;CANOAS
1;Gasto Direto;557.12;CANOAS
1;Gasto Direto;278.56;CANOAS
1;Gasto Direto;2571.92;CANOAS
1;Gasto Direto;1179.07;CANOAS
1;Gasto Direto;254.8;CANOAS
1;Gasto Direto;180.0;CANOAS
1;Gasto Direto;207.48;CANOAS
1;Gasto Direto;207.48;CANOAS
1;Gasto Direto;180.0;CANOAS
1;Gasto Direto;300.0;CANOAS
1;Gasto Direto;300.0;CANOAS
1;Gasto Direto;300.0;CANOAS
1;Gasto Direto;180.0;CANOAS
1;Gasto Direto;180.0;CANOAS
1;Gasto Direto;180.0;CANOAS
1;Gasto Direto;180.0;CANOAS
1;Gasto Direto;180.0;CANOAS
1;Gasto Direto;180.0;CANOAS
1;Gasto Direto;1.0;CANOAS
1;Gasto Direto;1.0;CANOAS
1;Gasto Direto;1.0;CANOAS
1;Gasto Direto;1.0;CANOAS
1;Gasto Direto;1.0;CANOAS
1;Gasto Direto;1.0;CANOAS
1;Gasto Direto;1.0;CANOAS
1;Gasto Direto;1.0;CANOAS
1;Gasto Direto;1.0;CANOAS
1;Gasto Direto;1.0;CANOAS
1;Gasto Direto;1.0;CANOAS
1;Gasto Direto;1.0;CANOAS
1;Gasto Direto;1.0;CANOAS
1;Gasto Direto;1.0;CANOAS
1;Gasto Direto;1.0;CANOAS
1;Gasto Direto;1.0;CANOAS
1;Gasto Direto;1.0;CANOAS
1;Gasto Direto;1.0;CANOAS
1;Gasto Direto;1.0;CANOAS
1;Gasto Direto;1.0;CANOAS
1;Gasto Direto;1.0;CANOAS
1;Gasto Direto;207.48;CANOAS
1;Gasto Direto;1206.36;CANOAS
1;Gasto Direto;15549.69;CANOAS
1;Gasto Direto;140.31;CANOAS
1;Gasto Direto;140.31;CANOAS
1;Gasto Direto;1860.0;CANOAS
1;Gasto Direto;1860.0;CANOAS
1;Gasto Direto;1860.0;CANOAS
1;Gasto Direto;1550.0;CANOAS
1;Gasto Direto;1550.0;CANOAS
1;Gasto Direto;1550.0;CANOAS
1;Gasto Direto;300.63;CANOAS
1;Gasto Direto;905.22;CANOAS
1;Gasto Direto;635.33;CANOAS
1;Gasto Direto;4869.11;CANOAS
1;Gasto Direto;50.34;CANOAS
1;Gasto Direto;29827.2;CANOAS
1;Gasto Direto;24225.57;CANOAS
1;Gasto Direto;866.0;CANOAS
1;Gasto Direto;10577.52;CANOAS
1;Gasto Direto;17073.81;CANOAS
1;Gasto Direto;200.0;CANOAS
1;Gasto Direto;200.0;CANOAS
1;Gasto Direto;200.0;CANOAS
1;Gasto Direto;150.0;CANOAS
1;Gasto Direto;400.0;CANOAS
1;Gasto Direto;150.0;CANOAS
1;Gasto Direto;200.0;CANOAS
1;Gasto Direto;500.0;CANOAS
1;Gasto Direto;200.0;CANOAS
1;Gasto Direto;200.0;CANOAS
1;Gasto Direto;3000.0;CANOAS
1;Gasto Direto;8410.37;CANOAS
1;Gasto Direto;1143.0;CANOAS
1;Gasto Direto;12983.17;CANOAS
1;Gasto Direto;1.0;CANOAS
1;Gasto Direto;1.0;CANOAS
1;Gasto Direto;1.0;CANOAS
1;Gasto Direto;1.0;CANOAS
1;Gasto Direto;1.0;CANOAS
1;Gasto Direto;1.0;CANOAS
1;Gasto Direto;1.0;CANOAS
1;Gasto Direto;1.0;CANOAS
1;Gasto Direto;1.0;CANOAS
1;Gasto Direto;1.0;CANOAS
1;Gasto Direto;1.0;CANOAS
1;Gasto Direto;1.0;CANOAS
1;Gasto Direto;1.0;CANOAS
1;Gasto Direto;1.0;CANOAS
1;Gasto Direto;63360.0;CANOAS
1;Gasto Direto;38000.0;CANOAS
1;Gasto Direto;4435.0;CANOAS
1;Gasto Direto;140.31;CANOAS
1;Gasto Direto;100.51;CANOAS
1;Gasto Direto;44554.39;CANOAS
1;Gasto Direto;30447.86;CANOAS
1;Transferência;721841.67;CANOAS
1;Transferência;2950258.93;CANOAS
1;Transferência;2334215.42;CANOAS
1;Transferência;13083.32;CANOAS
1;Gasto Direto;169.75;CANOAS
1;Gasto Direto;100.51;CANOAS
1;Gasto Direto;4776.17;CANOAS
1;Gasto Direto;161318.07;CANOAS
1;Gasto Direto;175915.27;CANOAS
2;Gasto Direto;5467.85;CANOAS
2;Gasto Direto;46000.0;CANOAS
2;Gasto Direto;5824.05;CANOAS
2;Gasto Direto;5824.05;CANOAS
2;Gasto Direto;5241.67;CANOAS
2;Gasto Direto;11897.4;CANOAS
2;Gasto Direto;249997.21;CANOAS
2;Gasto Direto;25285.88;CANOAS
2;Gasto Direto;6976.56;CANOAS
2;Gasto Direto;2050.0;CANOAS
2;Gasto Direto;28495.66;CANOAS
2;Gasto Direto;28495.66;CANOAS
2;Gasto Direto;13245.57;CANOAS
2;Gasto Direto;7600.0;CANOAS
2;Gasto Direto;13488.12;CANOAS
2;Gasto Direto;20608.88;CANOAS
2;Gasto Direto;681.74;CANOAS
2;Gasto Direto;953.85;CANOAS
2;Gasto Direto;22085.65;CANOAS
2;Gasto Direto;142200.0;CANOAS
2;Gasto Direto;142200.0;CANOAS
2;Gasto Direto;761.82;CANOAS
2;Gasto Direto;37821.48;CANOAS
2;Gasto Direto;2658.98;CANOAS
2;Gasto Direto;20400.0;CANOAS
2;Gasto Direto;71630.34;CANOAS
2;Gasto Direto;95738.71;CANOAS
2;Gasto Direto;178987.02;CANOAS
2;Gasto Direto;197228.28;CANOAS
2;Gasto Direto;98019.16;CANOAS
2;Gasto Direto;21234.03;CANOAS
2;Gasto Direto;20685.09;CANOAS
2;Gasto Direto;29747.2;CANOAS
2;Gasto Direto;18825.86;CANOAS
2;Gasto Direto;100.51;CANOAS
2;Gasto Direto;100.51;CANOAS
2;Gasto Direto;100.51;CANOAS
2;Gasto Direto;100.51;CANOAS
2;Gasto Direto;100.51;CANOAS
2;Gasto Direto;100.51;CANOAS
2;Gasto Direto;100.51;CANOAS
2;Gasto Direto;100.51;CANOAS
2;Gasto Direto;7460.0;CANOAS
2;Gasto Direto;100.51;CANOAS
2;Gasto Direto;100.51;CANOAS
2;Transferência;9100.0;CANOAS
2;Transferência;40928.36;CANOAS
2;Gasto Direto;6112.0;CANOAS
2;Gasto Direto;6432.0;CANOAS
2;Gasto Direto;6528.0;CANOAS
2;Gasto Direto;4640.0;CANOAS
2;Gasto Direto;6928.0;CANOAS
2;Gasto Direto;4656.0;CANOAS
2;Gasto Direto;4112.0;CANOAS
2;Gasto Direto;4960.0;CANOAS
2;Gasto Direto;4384.0;CANOAS
2;Gasto Direto;8464.0;CANOAS
2;Gasto Direto;11344.0;CANOAS
2;Gasto Direto;20128.0;CANOAS
2;Gasto Direto;3904.0;CANOAS
2;Gasto Direto;5120.0;CANOAS
2;Gasto Direto;2592.0;CANOAS
2;Gasto Direto;6736.6;CANOAS
2;Gasto Direto;6800.0;CANOAS
2;Gasto Direto;4800.0;CANOAS
2;Gasto Direto;3264.0;CANOAS
2;Gasto Direto;10544.0;CANOAS
2;Gasto Direto;11728.0;CANOAS
2;Gasto Direto;5632.0;CANOAS
2;Gasto Direto;19944.8;CANOAS
2;Gasto Direto;9552.0;CANOAS
2;Gasto Direto;9939.6;CANOAS
2;Gasto Direto;18986.6;CANOAS
